Date,Close,High,Low,Shares_Traded,Turnover
2014-01-01,6301.65,6327.2,6298.25,69567668.0,2015.36
2014-01-02,6221.15,6358.3,6211.3,158132556.0,5249.79
2014-01-03,6211.15,6221.7,6171.25,139043889.0,5369.42
2014-01-06,6191.45,6224.7,6170.25,118344976.0,4722.67
2014-01-07,6162.25,6221.5,6144.75,138559000.0,5696.6
2014-01-08,6174.6,6192.1,6160.35,146912639.0,5816.54
2014-01-09,6168.35,6188.05,6148.25,150064466.0,5908.02
2014-01-10,6171.45,6239.1,6139.6,159920407.0,7347.29
2014-01-13,6272.75,6288.2,6189.55,135009945.0,5984.02
2014-01-14,6241.85,6280.35,6234.15,110231153.0,4703.01
2014-01-15,6320.9,6325.2,6265.3,145922867.0,6422.97
2014-01-16,6318.9,6346.5,6299.85,153420441.0,6758.63
2014-01-17,6261.65,6327.1,6246.35,167719501.0,7895.92
2014-01-20,6303.95,6307.45,6243.35,122136071.0,5499.51
2014-01-21,6313.8,6330.3,6297.9,141728380.0,5831.26
2014-01-22,6338.95,6349.95,6287.45,137490525.0,5635.92
2014-01-23,6345.65,6355.6,6316.4,120054602.0,5278.88
2014-01-24,6266.75,6331.45,6263.9,160270856.0,6209.06
2014-01-27,6135.85,6188.55,6130.25,190442601.0,7091.1
2014-01-28,6126.25,6163.6,6085.95,184111740.0,7710.08
2014-01-29,6120.25,6170.45,6109.8,146733030.0,6487.39
2014-01-30,6073.7,6082.85,6027.25,208061426.0,7694.04
2014-01-31,6089.5,6097.85,6067.35,146713083.0,5407.1
2014-02-03,6001.8,6074.85,5994.45,134893587.0,4635.69
2014-02-04,6000.9,6017.8,5933.3,183252654.0,6075.02
2014-02-05,6022.4,6028.05,5962.05,166627311.0,5572.13
2014-02-06,6036.3,6048.35,5965.4,185503324.0,6291.97
2014-02-07,6063.2,6079.95,6030.9,181932292.0,5591.39
2014-02-10,6053.45,6083.05,6046.4,133070328.0,4762.89
2014-02-11,6062.7,6081.85,6053.25,150520900.0,5268.8
2014-02-12,6084.0,6106.6,6077.4,138547391.0,5351.08
2014-02-13,6001.1,6094.4,5991.1,153652371.0,5037.18
2014-02-14,6048.35,6056.4,5984.6,140204479.0,5539.7
2014-02-17,6073.3,6080.65,6038.3,108492457.0,4455.65
2014-02-18,6127.1,6141.7,6066.8,126639146.0,4592.38
2014-02-19,6152.75,6160.35,6125.75,95248833.0,3735.52
2014-02-20,6091.45,6129.1,6086.45,132108928.0,4344.77
2014-02-21,6155.45,6159.65,6108.0,112596128.0,4001.93
2014-02-24,6186.1,6191.85,6130.8,144877047.0,4424.81
2014-02-25,6200.05,6216.85,6176.6,146259298.0,4782.95
2014-02-26,6238.8,6245.95,6202.1,181663811.0,6641.33
2014-02-28,6276.95,6282.7,6228.1,209914263.0,7869.42
2014-03-03,6221.45,6277.75,6212.25,144562338.0,5040.12
2014-03-04,6297.95,6302.15,6215.7,166818924.0,5550.29
2014-03-05,6328.65,6336.25,6287.8,160300066.0,5754.58
2014-03-06,6401.15,6406.6,6339.7,180731810.0,5844.96
2014-03-07,6526.65,6537.8,6413.55,284922346.0,11368.15
2014-03-10,6537.25,6562.2,6487.35,242143703.0,9992.74
2014-03-11,6511.9,6562.85,6494.25,238994883.0,8268.67
2014-03-12,6516.9,6546.15,6487.3,174977068.0,6176.54
2014-03-13,6493.1,6561.45,6476.65,167858387.0,8356.1
2014-03-14,6504.2,6518.45,6432.7,177336088.0,7114.55
2014-03-18,6516.65,6574.95,6497.65,179308616.0,7268.52
2014-03-19,6524.05,6541.2,6506.0,172464722.0,7666.24
2014-03-20,6483.1,6523.65,6473.25,141984189.0,6280.76
2014-03-21,6493.2,6522.9,6485.7,189854420.0,8841.94
2014-03-22,6494.9,6502.65,6481.35,9774392.0,373.66
2014-03-24,6583.5,6591.5,6510.5,158395722.0,6633.77
2014-03-25,6589.75,6595.55,6544.85,168125064.0,6475.61
2014-03-26,6601.4,6627.45,6580.6,186570474.0,7046.34
2014-03-27,6641.75,6673.95,6599.5,312383468.0,12924.37
2014-03-28,6695.9,6702.6,6643.8,,
2014-03-31,6704.2,6730.05,6662.4,,
2014-04-01,6721.05,6732.25,6675.45,147136671.0,7174.14
2014-04-02,6752.55,6763.5,6723.6,173335875.0,8007.75
2014-04-03,6736.1,6776.75,6696.9,197546648.0,7738.58
2014-04-04,6694.35,6741.85,6685.15,155127592.0,6676.88
2014-04-07,6695.05,6725.15,6650.4,133947319.0,6707.01
2014-04-09,6796.2,6808.7,6705.1,169794626.0,8892.66
2014-04-10,6796.4,6819.05,6777.3,191125947.0,9079.6
2014-04-11,6776.3,6789.35,6743.15,140734579.0,7463.19
2014-04-15,6733.1,6813.4,6711.75,123197822.0,7100.26
2014-04-16,6675.3,6748.65,6665.15,119768833.0,6168.64
2014-04-17,6779.4,6783.05,6684.4,131488368.0,6952.58
2014-04-21,6817.65,6825.45,6786.9,111840313.0,5711.98
2014-04-22,6815.35,6838.0,6806.25,114693049.0,5636.78
2014-04-23,6840.8,6861.6,6820.75,182972972.0,9247.25
