Date,Close,High,Low,Shares_Traded,Turnover,log_return,range_volatility
2014-01-01,6301.65,6327.2,6298.25,6.9567668E7,2015.36,,2.1031241825878487E-5
2014-01-02,6221.15,6358.3,6211.3,1.58132556E8,5249.79,-0.012856726747011677,5.471310316298021E-4
2014-01-03,6211.15,6221.7,6171.25,1.39043889E8,5369.42,-0.001608713135402426,6.628843036530776E-5
2014-01-06,6191.45,6224.7,6170.25,1.18344976E8,4722.67,-0.003176755933003238,7.719191024361887E-5
2014-01-07,6162.25,6221.5,6144.75,1.38559E8,5696.6,-0.004727337458320973,1.540819862263926E-4
2014-01-08,6174.6,6192.1,6160.35,1.46912639E8,5816.54,0.002002132493375481,2.6426713361495167E-5
2014-01-09,6168.35,6188.05,6148.25,1.50064466E8,5908.02,-0.0010127239491648035,4.163507052940125E-5
2014-01-10,6171.45,6239.1,6139.6,1.59920407E8,7347.29,5.024392721461814E-4,2.5844895706677033E-4
2014-01-13,6272.75,6288.2,6189.55,1.35009945E8,5984.02,0.016281036569785592,2.500343682446705E-4
2014-01-14,6241.85,6280.35,6234.15,1.10231153E8,4703.01,-0.004938242180258452,5.451561089780656E-5
2014-01-15,6320.9,6325.2,6265.3,1.45922867E8,6422.97,0.012584990282946245,9.053869590789551E-5
2014-01-16,6318.9,6346.5,6299.85,1.53420441E8,6758.63,-3.1646070613325746E-4,5.442981182975506E-5
2014-01-17,6261.65,6327.1,6246.35,1.67719501E8,7895.92,-0.009101413721168659,1.6498637370548897E-4
2014-01-20,6303.95,6307.45,6243.35,1.22136071E8,5499.51,0.006732692395925835,1.043375859904052E-4
2014-01-21,6313.8,6330.3,6297.9,1.4172838E8,5831.26,0.0015612929406419404,2.6331100746978826E-5
2014-01-22,6338.95,6349.95,6287.45,1.37490525E8,5635.92,0.003975425598792202,9.783891857100867E-5
2014-01-23,6345.65,6355.6,6316.4,1.20054602E8,5278.88,0.0010563991963623248,3.827758834286221E-5
2014-01-24,6266.75,6331.45,6263.9,1.60270856E8,6209.06,-0.012511659836120561,1.1505315844215181E-4
2014-01-27,6135.85,6188.55,6130.25,1.90442601E8,7091.1,-0.021109261078658903,8.959149361507516E-5
2014-01-28,6126.25,6163.6,6085.95,1.8411174E8,7710.08,-0.001565800631439209,1.607364144822032E-4
2014-01-29,6120.25,6170.45,6109.8,1.4673303E8,6487.39,-9.798718785080376E-4,9.756953777700648E-5
2014-01-30,6073.7,6082.85,6027.25,2.08061426E8,7694.04,-0.007634970805552999,8.431798489664437E-5
2014-01-31,6089.5,6097.85,6067.35,1.46713083E8,5407.1,0.002598001987468999,2.5143340883438535E-5
2014-02-03,6001.8,6074.85,5994.45,1.34893587E8,4635.69,-0.014506552307975153,1.775091614251442E-4
2014-02-04,6000.9,6017.8,5933.3,1.83252654E8,6075.02,-1.4996625787316785E-4,1.9997335039572526E-4
2014-02-05,6022.4,6028.05,5962.05,1.66627311E8,5572.13,0.0035763929896889188,1.2120234563165723E-4
2014-02-06,6036.3,6048.35,5965.4,1.85503324E8,6291.97,0.002305390490905147,1.9069942987659508E-4
2014-02-07,6063.2,6079.95,6030.9,1.81932292E8,5591.39,0.0044464720559084766,6.561354666278757E-5
2014-02-10,6053.45,6083.05,6046.4,1.33070328E8,4762.89,-0.0016093560686157922,3.6519798741630766E-5
2014-02-11,6062.7,6081.85,6053.25,1.505209E8,5268.8,0.0015268879631088485,2.221810151610274E-5
2014-02-12,6084.0,6106.6,6077.4,1.38547391E8,5351.08,0.0035071289868710874,2.2974579775755458E-5
2014-02-13,6001.1,6094.4,5991.1,1.53652371E8,5037.18,-0.013719588639159846,2.9224866924079185E-4
2014-02-14,6048.35,6056.4,5984.6,1.40204479E8,5539.7,0.007842721815290526,1.4223093399688726E-4
2014-02-17,6073.3,6080.65,6038.3,1.08492457E8,4455.65,0.004116607101259631,4.884727813269179E-5
2014-02-18,6127.1,6141.7,6066.8,1.26639146E8,4592.38,0.008819440137131852,1.505601051742512E-4
2014-02-19,6152.75,6160.35,6125.75,9.5248833E7,3735.52,0.00417758153463435,3.172388694292325E-5
2014-02-20,6091.45,6129.1,6086.45,1.32108928E8,4344.77,-0.010012987726474961,4.8761329734636896E-5
2014-02-21,6155.45,6159.65,6108.0,1.12596128E8,4001.93,0.010451719635821382,7.090600574363994E-5
2014-02-24,6186.1,6191.85,6130.8,1.44877047E8,4424.81,0.0049669714117469115,9.818162316031176E-5
2014-02-25,6200.05,6216.85,6176.6,1.46259298E8,4782.95,0.0022525168673606616,4.219008268774074E-5
2014-02-26,6238.8,6245.95,6202.1,1.81663811E8,6641.33,0.006230499660876425,4.963638350289524E-5
2014-02-28,6276.95,6282.7,6228.1,2.09914263E8,7869.42,0.006096337519478733,7.618695713549409E-5
2014-03-03,6221.45,6277.75,6212.25,1.44562338E8,5040.12,-0.00888119516086819,1.1000835668118094E-4
2014-03-04,6297.95,6302.15,6215.7,1.66818924E8,5550.29,0.01222118506491175,1.9078503655200896E-4
2014-03-05,6328.65,6336.25,6287.8,1.60300066E8,5754.58,0.0048627596495382595,5.8918869711127044E-5
2014-03-06,6401.15,6406.6,6339.7,1.8073181E8,5844.96,0.01139071845516691,1.1019247328206395E-4
2014-03-07,6526.65,6537.8,6413.55,2.84922346E8,11368.15,0.01941613308108391,3.6817081141185136E-4
2014-03-10,6537.25,6562.2,6487.35,2.42143703E8,9992.74,0.0016227929372118323,1.316018682865052E-4
2014-03-11,6511.9,6562.85,6494.25,2.38994883E8,8268.67,-0.003885315425082567,1.1041364679665156E-4
2014-03-12,6516.9,6546.15,6487.3,1.74977068E8,6176.54,7.675304318831538E-4,8.15530200311081E-5
2014-03-13,6493.1,6561.45,6476.65,1.67858387E8,8356.1,-0.003658728139811217,1.692136246702529E-4
2014-03-14,6504.2,6518.45,6432.7,1.77336088E8,7114.55,0.0017080474711854297,1.7535747147002457E-4
2014-03-18,6516.65,6574.95,6497.65,1.79308616E8,7268.52,0.0019123181350059718,1.3986374648992478E-4
2014-03-19,6524.05,6541.2,6506.0,1.72464722E8,7666.24,0.001134908523971568,2.9114731292055638E-5
2014-03-20,6483.1,6523.65,6473.25,1.41984189E8,6280.76,-0.0062965577077323765,6.015141709545177E-5
2014-03-21,6493.2,6522.9,6485.7,1.8985442E8,8841.94,0.001556684423076205,3.2710495215506525E-5
2014-03-22,6494.9,6502.65,6481.35,9774392.0,373.66,2.6177809066888315E-4,1.0764725597505966E-5
2014-03-24,6583.5,6591.5,6510.5,1.58395722E8,6633.77,0.01354926526903964,1.528853616842487E-4
2014-03-25,6589.75,6595.55,6544.85,1.68125064E8,6475.61,9.488927134847534E-4,5.9547433632748515E-5
2014-03-26,6601.4,6627.45,6580.6,1.86570474E8,7046.34,0.0017663362222314941,5.032750677412067E-5
2014-03-27,6641.75,6673.95,6599.5,3.12383468E8,12924.37,0.00609373523092073,1.2584352299445405E-4
2014-03-28,6695.9,6702.6,6643.8,,,0.00811991580563042,7.764115541940285E-5
2014-03-31,6704.2,6730.05,6662.4,,,0.0012387968838208155,1.0206642743306675E-4
2014-04-01,6721.05,6732.25,6675.45,1.47136671E8,7174.14,0.0025101966589488197,7.178823751011154E-5
2014-04-02,6752.55,6763.5,6723.6,1.73335875E8,8007.75,0.004675818992859665,3.500831124733939E-5
2014-04-03,6736.1,6776.75,6696.9,1.97546648E8,7738.58,-0.0024390888866266734,1.4049131514862404E-4
2014-04-04,6694.35,6741.85,6685.15,1.55127592E8,6676.88,-0.006217235384320974,7.133017578796454E-5
2014-04-07,6695.05,6725.15,6650.4,1.33947319E8,6707.01,1.0456032393353425E-4,1.2493039976857416E-4
2014-04-09,6796.2,6808.7,6705.1,1.69794626E8,8892.66,0.01499518507744194,2.3509399936396817E-4
2014-04-10,6796.4,6819.05,6777.3,1.91125947E8,9079.6,2.9427776880780706E-5,3.7716467433807104E-5
2014-04-11,6776.3,6789.35,6743.15,1.40734579E8,7463.19,-0.002961829951863465,4.662203708806666E-5
2014-04-15,6733.1,6813.4,6711.75,1.23197822E8,7100.26,-0.006395568604345289,2.2594718293863757E-4
2014-04-16,6675.3,6748.65,6665.15,1.19768833E8,6168.64,-0.008621514576662933,1.5500314436139024E-4
2014-04-17,6779.4,6783.05,6684.4,1.31488368E8,6952.58,0.015474455364523729,2.1463421896699181E-4
2014-04-21,6817.65,6825.45,6786.9,1.11840313E8,5711.98,0.005626235234663153,3.208077593145546E-5
2014-04-22,6815.35,6838.0,6806.25,1.14693049E8,5636.78,-3.374165659532361E-4,2.1659562585593244E-5
2014-04-23,6840.8,6861.6,6820.75,1.82972972E8,9247.25,0.0037272627297802005,3.565539914825762E-5
2014-04-25,6782.75,6869.85,6772.85,1.54320793E8,8021.33,-0.008522059422898664,2.0221689529990658E-4
2014-04-28,6761.25,6786.25,6750.3,1.18162668E8,6297.18,-0.003174840233210194,2.8212647285385007E-5
2014-04-29,6715.25,6779.7,6708.65,1.15511531E8,5459.34,-0.006826724839414866,1.109886416239391E-4
2014-04-30,6696.4,6780.15,6656.8,1.61106871E8,7066.78,-0.0028109908045921687,3.371019746542953E-4
2014-05-02,6694.8,6737.65,6689.5,1.14275323E8,5030.42,-2.389629021466117E-4,5.143853797489999E-5
2014-05-05,6699.35,6741.05,6680.45,1.04989653E8,4881.32,6.794011079490664E-4,8.154719569038509E-5
2014-05-06,6715.3,6743.45,6701.9,8.8291413E7,4168.72,0.0023779983102460538,3.8199755978942333E-5
2014-05-07,6652.55,6718.75,6642.9,1.14099791E8,6513.29,-0.009388265262639386,1.289021938126226E-4
2014-05-08,6659.85,6688.4,6638.55,1.01549745E8,5413.39,0.0010967219632376844,5.5967103472722525E-5
2014-05-09,6858.8,6871.35,6652.15,1.66442779E8,8027.14,0.02943553754641982,0.0010510877045967276
2014-05-12,7014.25,7020.05,6862.9,1.5772509E8,8475.17,0.02241129475994542,5.125808107781649E-4
2014-05-13,7108.75,7172.35,7067.15,2.32221733E8,10573.11,0.013382625556367727,2.1833220171048928E-4
2014-05-14,7108.75,7142.25,7080.9,1.77204155E8,9395.8,0.0,7.442227330615829E-5
2014-05-15,7123.15,7152.55,7082.55,1.86848485E8,8947.95,0.0020236236783652277,9.67257326181194E-5
2014-05-16,7203.0,7563.5,7130.65,3.93156741E8,21057.07,0.011147562589988237,0.0034729395666370966
2014-05-19,7263.55,7291.1,7193.55,3.16246557E8,15228.6,0.008371084133619802,1.8143106918159453E-4
2014-05-20,7275.5,7353.65,7247.7,2.55333095E8,11139.51,0.0016438491773507152,2.10615890933865E-4
2014-05-21,7252.9,7287.15,7206.7,2.03137825E8,9544.12,-0.0031111503302860472,1.2324050912499538E-4
2014-05-22,7276.4,7319.55,7258.15,2.40943899E8,10104.55,0.0032348455180137327,7.096167416016538E-5
2014-05-23,7367.1,7381.0,7293.9,2.59638086E8,12002.13,0.01238790724904927,1.4091466743258927E-4
2014-05-26,7359.05,7504.0,7269.05,2.73236339E8,13203.73,-0.0010932933321799185,0.0010119144441269293
2014-05-27,7318.0,7372.95,7274.75,1.68599276E8,7931.22,-0.0055937817257782855,1.7978651205486116E-4
2014-05-28,7329.65,7344.75,7302.6,1.75595609E8,8929.71,0.0015906991847185804,3.312374468117998E-5
2014-05-29,7235.65,7325.4,7224.4,2.41115398E8,13385.17,-0.012907568683302844,1.9275366459232433E-4
2014-05-30,7229.95,7272.5,7118.45,3.12152571E8,13837.29,-7.88076580992883E-4,4.583926514304341E-4
2014-06-02,7362.5,7368.6,7239.5,1.69891181E8,7833.43,0.018167428460267053,3.124263271130743E-4
2014-06-03,7415.85,7424.95,7342.15,2.34680218E8,10354.94,0.007220052544072955,1.2575907544905672E-4
2014-06-04,7402.25,7433.3,7391.35,2.04592241E8,8913.89,-0.001835593472666209,3.2030029787316646E-5
2014-06-05,7474.1,7484.7,7360.5,2.50660653E8,11574.51,0.009659702641022738,2.799956882532655E-4
2014-06-06,7583.4,7592.7,7497.65,2.48397596E8,12322.96,0.014517937208863853,1.5870006155396481E-4
2014-06-09,7654.6,7673.7,7580.25,2.31879926E8,10866.56,0.009345126416259402,1.501290831555461E-4
2014-06-10,7656.4,7683.2,7579.3,1.88669182E8,9475.21,2.3512507455971358E-4,1.8537584784028004E-4
2014-06-11,7626.85,7700.05,7589.05,1.86182446E8,10472.71,-0.0038669833737107378,2.1084211668898135E-4
2014-06-12,7649.9,7658.0,7593.8,1.48207144E8,8187.49,0.0030176598414749147,7.087498406463425E-5
2014-06-13,7542.1,7678.5,7525.35,1.74522339E8,11254.75,-0.014191918026845586,4.0589735406131136E-4
2014-06-16,7533.55,7548.6,7487.55,1.55377979E8,8449.27,-0.0011342795722500843,6.59421042764948E-5
2014-06-17,7631.7,7637.6,7509.25,1.57961787E8,8704.2,0.012944246938812196,2.872287300941356E-4
2014-06-18,7558.2,7663.0,7515.5,1.65078941E8,8963.97,-0.009677558593122937,3.7775799482099E-4
2014-06-19,7540.7,7606.45,7502.55,1.48852437E8,8115.36,-0.002318050697222683,1.8916175553600014E-4
2014-06-20,7511.45,7560.55,7497.3,1.24132217E8,6801.49,-0.0038864928688601137,7.057651773931988E-5
2014-06-23,7493.35,7534.8,7441.6,1.2740479E8,6543.64,-0.002412562483897036,1.5491310790409648E-4
2014-06-24,7580.2,7593.35,7515.2,1.37002483E8,7146.44,0.011523623976275392,1.070237416630854E-4
2014-06-25,7569.25,7589.25,7557.05,1.14968325E8,6198.93,-0.0014455972866207131,1.80783976208875E-5
2014-06-26,7493.2,7570.2,7481.3,1.7167696E8,9190.64,-0.010098044639083419,1.395449254221863E-4
2014-06-27,7508.8,7538.75,7482.3,1.26673395E8,6688.8,0.0020797234532494843,5.6492577415354815E-5
2014-06-30,7611.35,7623.65,7531.6,1.52303166E8,7887.37,0.013564888242700746,1.4756795149033528E-4
2014-07-01,7634.7,7649.5,7618.15,1.39431498E8,6983.63,0.0030630908670544912,1.6865216141784106E-5
2014-07-02,7725.15,7732.4,7677.3,1.36324329E8,7363.75,0.011777594903249066,5.114209600065015E-5
2014-07-03,7714.8,7754.65,7706.8,1.33755275E8,7320.09,-0.001340678117516209,3.831123992403164E-5
2014-07-04,7751.6,7758.0,7661.3,1.13070488E8,5863.82,0.004758711716452999,1.5732401106193555E-4
